Time,Times,Borg,L,R
8381.352515,1,0,150,1200
8384.265348,2,0,250,1250
8386.150249,3,0,300,1400
8388.576829,4,0,310,1320
8390.841682,5,0,200,1200
8393.084245,6,0,100,1100
8395.147674,7,1,200,1300
8397.549576,8,1,200,1300
8399.680104,9,1,250,1220
8401.906056,10,1,350,1400
8404.153825,11,1,400,1550
8406.403005,12,2,350,1550
8408.658897,13,2,450,1580
8411.085086,14,2,400,1600
8413.301548,15,2,400,1550
8415.702593,16,2,400,1550
8418.127746,17,2,450,1680
8420.514738,18,2,400,1450
8422.761771,19,2,300,1400
8425.028531,20,3,450,1550
8427.41186,21,3,450,1550
8429.812079,22,3,300,1500
8432.622072,23,3,0,950
8434.610968,24,3,300,1400
8437.012746,25,4,450,1480
8439.5562,26,4,250,1450
8442.097029,27,5,250,1290
8444.522779,28,5,200,1200
8446.922906,29,5,200,1300
8449.02218,30,5,300,1300
8451.425281,31,5,200,1200
8453.223982,32,6,700,1800
8455.937154,33,6,400,1450
8458.322784,34,6,400,1500
8460.704126,35,6,450,1450
8463.10057,36,6,400,1500
8465.658851,37,6,350,1500
8467.901865,38,6,300,1500
8470.315748,39,7,400,1600
8472.701142,40,7,600,1650
8475.417081,41,7,500,1500
8477.806466,42,7,450,1550
8480.215456,43,7,500,1600
8482.611579,44,8,500,1500
8485.150143,45,8,400,1450
8487.69977,46,8,400,1500
8490.117226,47,8,550,1550
8492.663263,48,8,550,1550
8495.059602,49,9,500,1650
8497.795858,50,9,450,1550
8500.457139,51,9,450,1550
8503.149548,52,9,400,1400
8505.707453,53,9,460,1600
8508.452199,54,9,450,1650
8511.415222,55,9,300,1500
8513.967919,56,9,600,1750
8516.814483,57,9,550,1800
8519.653854,58,9,500,1550
8522.205533,59,9,600,1800
8525.214343,60,9,520,1750
8528.233491,61,9,550,1900
8531.071285,62,9,500,1900
8534.061055,63,9,,
