Time,Times,Borg,L,R,,
87859.721,1,0,300,1300,,
87861.97137,2,0,200,1300,,
87864.3476,3,0,100,1250,,
87866.75208,4,0,100,1300,,
87868.99786,5,1,300,1520,,
87871.36597,6,1,150,1400,,
87873.66192,7,1,0,1150,,
87875.69087,8,1,100,1300,,
87877.82408,9,2,100,1280,,
87879.90686,10,2,200,1350,,
87882.22848,11,2,0,1150,,
87884.45574,12,2,0,1050,,
87886.41272,13,3,0,1100,,
87888.50205,14,3,0,1100,,
87890.61137,15,3,50,1150,,
87892.85219,16,3,0,1100,,
87895.10888,17,3,0,1100,,
87897.0005,18,4,100,1300,,
87899.06147,19,4,150,1500,,
87901.36588,20,4,200,1450,,
87903.66588,21,5,100,1300,,
87905.85403,22,5,150,1500,,
87908.14431,23,5,100,1300,,
87910.39002,24,5,200,1500,,
87912.50632,25,6,150,1350,,
87915.04087,26,6,0,1150,,
87917.16351,27,6,0,1150,,
87919.3998,28,7,0,1180,,
87921.31334,29,7,350,1550,,
87923.89813,30,7,0,950,,
87925.7098,31,7,100,1150,,
87927.65541,32,7,100,1200,,
87929.75236,33,7,0,1100,,
87931.86211,34,8,0,1150,,
87933.95173,35,8,0,1150,,
87936.05177,36,8,0,1150,,
87938.32171,37,8,100,1250,,
87940.24725,38,8,100,1200,,
87942.2106,39,8,200,1350,,
87944.15959,40,8,300,1400,,
87946.13466,41,8,250,1350,,
87948.05641,42,8,250,1350,,
87950.30348,43,8,200,1350,,
87952.39731,44,8,300,1400,,
87955.10614,45,8,300,1700,,
87957.49729,46,8,200,1600,,
87960.07373,47,9,300,1500,,
87962.60384,48,9,500,1750,,
87965.15518,49,9,300,2400,,
87968.44731,50,9,300,2150,,
87971.60199,51,9,600,2700,,
87975.34594,52,9,300,2400,,
87978.65486,53,9,400,2900,,
87982.55468,54,9,300,2800,,
87986.30144,55,9,300,2650,,
87990.40254,56,9,500,3350,,
87994.39445,57,9,400,4250,,
87999.94475,58,9,800,4100,,
88005.05542,59,9,1100,5000,,
88010.88427,60,9,700,4700,,
88016.59043,61,9,400,3900,,
88021.40243,62,9,1000,5050,,
88027.29223,63,9,1000,7850,,
88035.94612,64,9,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
