Time,A1,A2,A3,RE
28479.40063,512,514,513,2
28479.40063,510,510,515,2
28479.40064,511,513,516,2
28479.40074,512,514,516,2
28479.40074,510,512,516,3
28479.40084,513,517,515,2
28479.40085,525,514,512,2
28479.40097,528,510,507,2
28479.40097,522,506,502,2
28479.40097,513,510,502,2
28479.40098,511,513,505,2
28479.40098,506,511,506,2
28479.40098,495,510,512,3
28479.40098,487,507,513,2
28479.40098,486,501,512,2
28479.40098,492,497,513,2
28479.40099,497,499,514,2
28479.40099,497,503,516,2
28479.40099,502,504,512,2
28479.40099,509,503,511,2
28479.40099,514,506,510,3
28479.40099,516,507,506,2
28479.401,518,506,504,2
28479.401,520,505,501,2
28479.401,521,506,506,2
28479.401,531,506,507,2
28479.401,523,506,509,2
28479.401,515,510,509,2
28479.40101,512,515,510,3
28479.40101,510,512,508,2
28479.40101,507,511,507,2
28479.40101,504,511,507,2
28479.40101,505,511,511,2
28479.40101,508,511,513,2
28479.40102,513,515,510,2
28479.40102,525,518,511,2
28479.40102,527,525,512,3
28479.40102,518,524,513,2
28479.40102,505,518,513,2
28479.40102,499,517,514,2
28479.40103,497,506,515,2
28479.40103,495,503,513,2
28479.40103,496,495,511,2
28479.40103,501,492,511,2
28479.40103,502,492,510,2
28479.40103,499,491,510,2
28479.40104,499,495,508,2
28479.40104,501,499,508,2
28479.40104,507,506,506,2
28479.40104,512,507,502,2
28479.40104,521,513,504,2
28479.40104,525,517,505,2
28479.40104,522,515,508,2
28479.40105,522,513,511,2
28479.40105,528,512,510,2
28479.40105,523,512,512,2
28479.40105,520,516,514,2
28479.40105,522,516,511,2
28479.40105,518,513,508,2
28479.40106,513,509,511,2
28479.40106,511,507,510,3
28479.40106,511,507,513,2
28479.40106,501,506,511,2
28479.40106,494,502,511,2
28479.40106,488,499,512,2
28479.40107,488,497,509,2
28479.40107,494,501,512,2
28479.40107,494,503,509,2
28479.40107,491,505,510,2
28479.40107,494,511,512,2
28479.40107,500,520,511,2
28479.40108,510,528,510,2
28479.40108,519,528,514,2
28479.40108,524,527,513,2
28479.40108,522,516,514,2
28479.40108,520,508,516,2
28479.40108,521,499,518,3
28479.40109,525,494,517,2
28479.40109,524,492,513,2
28479.40109,518,498,512,2
28479.40109,517,503,505,2
28479.40109,517,509,503,2
28479.40109,516,514,498,2
28479.40109,525,518,496,2
28479.4011,520,513,499,2
28479.4011,514,511,499,2
28479.4011,517,513,502,2
28479.4011,521,522,504,2
28479.4011,522,516,507,2
28479.4011,518,509,511,2
28479.40111,509,504,516,2
28479.40111,499,501,518,2
28479.40111,496,496,516,3
28479.40111,492,494,516,2
28479.40111,484,497,514,2
28479.40111,477,498,513,2
28479.40112,480,503,514,2
28479.40112,483,512,515,2
28479.40112,490,514,515,2
28479.40112,492,512,510,2
28479.40112,506,512,508,3
28479.40112,513,511,510,2
28479.40112,517,509,510,2
28479.40113,519,505,509,2
28479.40113,519,502,510,2
28479.40113,514,500,511,2
28479.40113,514,503,512,2
28479.40113,509,508,509,2
28479.40113,511,510,508,3
28479.40114,515,512,507,2
28479.40114,519,515,506,2
28479.40114,520,516,509,2
28479.40114,527,518,508,2
28479.40114,536,520,506,2
28479.40114,530,519,509,2
28479.40115,524,516,507,2
28479.40115,514,512,509,3
28479.40115,509,508,510,2
28479.40115,502,505,508,2
28479.40115,498,504,508,2
28479.40115,499,506,508,2
28479.40116,500,510,510,2
28479.40116,506,508,513,2
28479.40116,509,507,515,2
28479.40116,513,510,513,3
28479.40116,513,507,517,2
28479.40116,511,509,518,2
28479.40116,514,509,515,2
28479.40117,513,507,510,2
28479.40117,510,507,507,2
28479.40117,510,507,509,2
28479.40117,510,508,508,2
28479.40117,505,507,507,3
28479.40117,510,512,505,2
28479.40118,511,512,503,2
28479.40118,513,510,507,2
28479.40118,513,511,510,2
28479.40118,511,515,515,2
28479.40118,524,518,520,2
28479.40118,521,517,521,2
28479.40119,512,512,517,3
28479.40119,507,505,517,2
28479.40119,505,501,513,2
28479.40119,502,495,510,2
28479.40119,499,496,505,2
28479.40119,501,502,504,2
28479.4012,501,506,505,2
28479.4012,502,507,503,2
28479.4012,508,509,499,2
28479.4012,518,521,505,2
28479.54315,524,523,508,2
28479.54316,519,513,510,2
28479.54316,518,506,508,2
28479.54316,512,502,509,2
28479.54316,505,499,511,2
28479.54317,502,497,511,2
28479.54317,495,494,509,3
28479.54317,498,499,509,2
28479.54317,504,502,509,2
28479.54317,505,503,513,2
28479.54318,503,505,510,2
28479.54319,505,508,512,2
28479.5432,509,509,508,2
28479.54321,511,510,511,2
28479.54321,510,512,510,3
28479.54321,512,514,512,2
28479.54321,510,513,512,2
